match_id,innings_no,over_id,ball_id,striker_batting_position,runs_scored,extra_runs,out_type,striker,non_striker,bowler
598063,2,3,5,1,0,0,Not Applicable,6,85,364
598063,2,3,6,1,4,0,Not Applicable,6,85,364
598063,2,1,1,1,0,0,Not Applicable,6,85,364
598063,2,1,3,1,1,0,Not Applicable,6,85,364
598063,2,1,5,1,0,0,Not Applicable,6,85,364
598063,2,1,6,1,0,0,Not Applicable,6,85,364
598063,2,15,1,5,0,0,Not Applicable,32,255,350
598063,2,15,3,5,0,0,Not Applicable,32,255,350
598063,2,15,5,5,4,0,Not Applicable,32,255,350
598063,2,15,6,5,4,0,Not Applicable,32,255,350
598063,2,17,1,6,0,0,Not Applicable,255,32,71
598063,2,17,3,5,4,0,Not Applicable,32,255,71
598063,2,17,5,5,0,0,bowled,32,255,71
598063,2,17,6,7,0,0,Not Applicable,104,255,71
598063,2,13,1,5,0,0,Not Applicable,32,255,391
598063,2,13,3,6,1,0,Not Applicable,255,32,391
598063,2,13,5,6,1,0,Not Applicable,255,32,391
598063,2,13,6,5,6,0,Not Applicable,32,255,391
598063,2,11,1,5,1,0,Not Applicable,32,255,201
598063,2,11,3,6,2,0,Not Applicable,255,32,201
598063,2,11,5,6,1,0,Not Applicable,255,32,201
598063,2,11,6,5,6,0,Not Applicable,32,255,201
598063,2,11,7,5,6,0,Not Applicable,32,255,201
598063,2,9,1,5,0,0,Not Applicable,32,6,71
598063,2,9,3,1,0,0,Not Applicable,6,32,71
598063,2,9,5,5,6,0,Not Applicable,32,6,71
598063,2,9,6,5,0,0,Not Applicable,32,6,71
598063,2,7,1,1,0,0,Not Applicable,6,32,364
598063,2,7,3,5,1,0,Not Applicable,32,6,364
598063,2,7,5,5,4,0,Not Applicable,32,6,364
598063,2,7,6,5,0,0,Not Applicable,32,6,364
598063,2,5,1,1,1,0,Not Applicable,6,351,364
598063,2,5,3,4,0,0,Not Applicable,351,6,364
598063,2,5,5,5,0,0,Not Applicable,32,6,364
598063,2,5,6,5,0,0,Not Applicable,32,6,364
598063,2,3,1,2,4,0,Not Applicable,85,6,364
598063,2,3,3,2,0,0,Not Applicable,85,6,364
598019,2,9,1,2,1,0,Not Applicable,85,104,321
598019,2,9,3,5,1,0,Not Applicable,104,85,321
598019,2,9,5,2,0,0,Not Applicable,85,104,321
598019,2,9,6,2,0,0,Not Applicable,85,104,321
598019,2,7,1,2,0,0,Not Applicable,85,6,333
598019,2,7,3,3,4,0,Not Applicable,6,85,333
598019,2,7,5,3,0,1,Not Applicable,6,85,333
598019,2,7,6,2,4,0,Not Applicable,85,6,333
598019,2,5,1,1,0,0,Not Applicable,32,85,333
598019,2,5,3,1,4,0,Not Applicable,32,85,333
598019,2,5,5,3,0,0,Not Applicable,6,85,333
598019,2,5,6,3,1,0,Not Applicable,6,85,333
598019,2,3,1,2,1,0,Not Applicable,85,32,14
598019,2,3,3,2,0,0,Not Applicable,85,32,14
598019,2,3,5,2,1,0,Not Applicable,85,32,14
598019,2,3,6,1,1,0,Not Applicable,32,85,14
598019,2,1,1,1,0,4,Not Applicable,32,85,14
598019,2,1,3,2,0,0,Not Applicable,85,32,14
598019,2,1,5,2,0,0,Not Applicable,85,32,14
598019,2,1,6,2,0,1,Not Applicable,85,32,14
598019,2,1,7,2,0,0,Not Applicable,85,32,14
598019,2,17,1,6,1,0,Not Applicable,351,85,67
