playermatch_key,match_id,player_id,batting_hand,bowling_skill,role_desc,team_id
21419,598077,88,Right-hand bat,N/A,Keeper,7
19866,598007,3,Right-hand bat,Right-arm medium,Captain,7
19867,598007,50,Right-hand bat,Right-arm offbreak,Player,7
19868,598007,57,Right-hand bat,Right-arm offbreak,Player,7
19869,598007,88,Right-hand bat,N/A,Keeper,7
19870,598007,126,Right-hand bat,Right-arm medium-fast,Player,7
19871,598007,131,Left-hand bat,Slow left-arm orthodox,Player,7
19872,598007,133,Right-hand bat,Right-arm offbreak,Player,7
19873,598007,147,Right-hand bat,Right-arm medium,Player,7
19874,598007,208,Right-hand bat,Right-arm offbreak,Player,7
19875,598007,221,Right-hand bat,Right-arm medium-fast,Player,7
19876,598007,357,Left-hand bat,Left-arm fast,Player,7
19877,598007,19,Left-hand bat,Right-arm medium,Player,3
19878,598007,20,Right-hand bat,Right-arm medium,CaptainKeeper,3
19879,598007,21,Left-hand bat,Right-arm offbreak,Player,3
19880,598007,23,Right-hand bat,Right-arm offbreak,Player,3
19881,598007,35,Left-hand bat,Slow left-arm orthodox,Player,3
19882,598007,71,Right-hand bat,Right-arm medium-fast,Player,3
19883,598007,185,Right-hand bat,Right-arm offbreak,Player,3
19884,598007,201,Right-hand bat,Right-arm offbreak,Player,3
19885,598007,223,Right-hand bat,Left-arm fast,Player,3
19886,598007,343,Right-hand bat,Right-arm fast-medium,Player,3
19887,598007,344,Right-hand bat,Right-arm medium,Player,3
19910,598009,8,Right-hand bat,Right-arm medium,Captain,2
19911,598009,81,Right-hand bat,Right-arm medium,Player,2
19912,598009,83,Left-hand bat,Slow left-arm orthodox,Player,2
19913,598009,121,Right-hand bat,Right-arm offbreak,Player,2
19914,598009,135,Right-hand bat,Right-arm offbreak,Player,2
19915,598009,162,Left-hand bat,Right-arm offbreak,Player,2
19916,598009,163,Right-hand bat,Right-arm fast-medium,Player,2
19917,598009,239,Right-hand bat,Legbreak googly,Keeper,2
19918,598009,260,Right-hand bat,N/A,Player,2
19919,598009,339,Right-hand bat,Right-arm offbreak,Player,2
19920,598009,346,Right-hand bat,Left-arm medium,Player,2
19921,598009,10,Right-hand bat,Legbreak googly,Player,11
19922,598009,17,Left-hand bat,N/A,Keeper,11
19923,598009,26,Left-hand bat,Right-arm offbreak,Captain,11
19924,598009,84,Right-hand bat,Right-arm fast-medium,Player,11
19925,598009,94,Right-hand bat,Right-arm fast,Player,11
19926,598009,136,Right-hand bat,Legbreak,Player,11
19927,598009,280,Left-hand bat,Right-arm medium-fast,Player,11
19928,598009,314,Left-hand bat,Slow left-arm orthodox,Player,11
19929,598009,325,Right-hand bat,Right-arm medium,Player,11
19930,598009,331,Right-hand bat,Legbreak,Player,11
19931,598009,340,Right-hand bat,Right-arm offbreak,Player,11
19954,598011,3,Right-hand bat,Right-arm medium,Captain,7
19955,598011,50,Right-hand bat,Right-arm offbreak,Player,7
19956,598011,57,Right-hand bat,Right-arm offbreak,Player,7
19957,598011,88,Right-hand bat,N/A,Keeper,7
19958,598011,131,Left-hand bat,Slow left-arm orthodox,Player,7
19959,598011,133,Right-hand bat,Right-arm offbreak,Player,7
19960,598011,194,Right-hand bat,Right-arm fast,Player,7
19961,598011,208,Right-hand bat,Right-arm offbreak,Player,7
19962,598011,221,Right-hand bat,Right-arm medium-fast,Player,7
19963,598011,356,Right-hand bat,Right-arm medium-fast,Player,7
19964,598011,357,Left-hand bat,Left-arm fast,Player,7
